NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
23	39	32	22	48	8	3	6	5	19	2	2
0	0	0	0	0	0	34	25	35	43	42	29
35	0	0	20	0	0	26	35	23	0	31	37
31	63	17	24	11	37	0	0	11	11	0	0
25	16	10	6	16	11	13	22	11	19	38	18
21	16	30	25	19	13	0	12	14	12	18	21
42	16	30	31	27	8	0	12	0	14	8	11
0	0	0	12	0	0	30	32	34	36	22	32
28	24	28	22	60	25	0	0	10	0	0	0
22	27	26	33	13	0	15	14	0	16	15	16
7	21	32	12	49	21	8	5	13	17	7	5
16	17	24	21	20	19	0	18	21	14	26	0
0	0	0	0	0	0	20	30	95	0	32	19
34	21	32	0	25	19	13	0	18	17	16	0
0	0	0	14	0	0	27	45	24	14	27	44
24	18	10	23	13	11	5	13	11	19	19	27
0	49	56	0	0	32	12	0	0	23	21	0
29	8	14	41	13	0	9	33	12	0	13	20
28	0	20	14	18	8	20	30	13	11	11	19
12	0	0	16	28	0	13	37	23	10	21	31
26	27	32	54	15	24	0	0	0	12	0	0
28	0	0	0	0	0	20	33	34	0	39	34
25	0	0	24	22	0	0	17	29	29	42	0
53	21	28	26	37	11	0	0	0	8	3	0
27	29	17	27	28	17	8	8	6	12	0	6
24	29	14	23	31	7	5	17	6	5	12	12
18	26	27	26	29	16	0	18	0	10	15	0
24	27	27	17	25	22	0	16	0	15	11	0
0	0	0	0	0	0	184	0	0	0	0	0
35	16	34	0	25	18	0	0	14	0	21	20
34	27	28	29	35	10	0	0	0	20	0	0
32	19	28	34	36	0	0	0	10	0	13	11
18	19	26	26	33	8	9	8	11	10	9	6
0	0	0	50	60	0	0	0	0	35	0	37
32	28	28	29	0	0	0	0	19	25	0	19
22	16	27	34	28	17	7	5	0	13	3	8
22	17	26	30	12	6	0	16	17	22	0	11
0	0	0	0	0	0	21	46	27	0	32	52
0	31	28	42	39	0	0	10	0	0	15	12
32	0	26	39	40	0	0	0	0	0	39	0
29	38	20	27	28	14	0	7	0	13	0	0
22	25	32	18	29	18	9	0	15	0	0	7
0	45	40	22	30	32	0	0	0	0	0	6
0	0	0	0	0	0	29	27	18	20	44	37
23	25	32	39	15	9	0	0	15	0	9	7
39	33	13	23	13	0	0	12	0	12	15	12
35	29	14	21	28	15	0	0	8	14	0	8
31	0	25	29	41	24	0	0	22	0	0	0
22	37	17	15	27	19	0	0	8	20	7	0
16	18	23	12	17	13	11	14	12	20	0	14
30	24	18	22	13	22	0	0	17	0	0	23
23	14	14	21	26	16	8	15	11	11	10	0
23	25	31	22	35	6	0	5	6	16	0	0
0	0	55	43	0	9	0	0	29	15	0	18
0	0	0	0	0	0	23	37	0	0	56	53
35	0	20	40	0	0	12	0	13	12	15	21
23	0	25	42	31	14	0	0	0	17	16	0
13	60	0	25	25	6	0	11	6	12	2	8
30	23	19	22	0	0	0	13	15	16	14	15
29	14	21	12	9	13	9	10	16	34	0	0
28	31	20	29	8	12	0	13	10	0	0	16
24	12	32	22	31	5	9	0	0	16	7	9
32	47	27	18	6	36	0	0	0	0	0	0
34	22	25	20	21	24	0	0	19	0	0	0
24	21	25	26	16	17	3	8	7	0	9	8
0	0	0	0	0	0	164	0	0	0	0	0
0	0	0	0	0	0	66	0	0	0	0	98
34	26	15	18	18	10	0	9	10	10	6	7
34	7	25	30	13	0	0	16	9	16	5	8
26	19	23	14	9	10	8	13	13	6	8	14
40	17	39	31	13	16	0	0	5	0	0	0
17	22	0	18	22	22	0	14	16	13	17	0
0	0	0	0	10	0	41	13	22	9	40	26
0	0	0	0	0	0	32	28	18	0	39	44
30	31	18	17	22	20	0	4	0	11	7	0
28	22	20	25	27	11	11	0	16	0	0	0
26	34	14	26	0	8	0	19	0	8	13	12
16	17	0	21	39	0	0	25	16	13	12	0
35	18	24	27	0	0	0	9	12	19	13	0
33	25	14	17	20	23	0	7	0	11	7	0
29	9	17	24	26	16	6	7	10	8	0	5
20	15	26	0	36	13	0	0	12	18	0	17
30	0	18	26	17	15	12	0	0	15	23	0
0	0	19	16	13	0	11	41	0	19	13	23
28	21	19	27	21	9	0	0	8	0	16	5
