ASV	NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
6a0be092ac8416444599f0f21b16189b	46	29	41	54	18	0	7	12	21	19	13	18
c1f99ced5a945178f00e0bc3e38dc39a	54	28	36	29	61	29	0	0	40	0	0	0
f1a4ab07e17f151480aba55da86c3797	33	31	27	19	30	20	15	24	11	26	23	15
f1b872c705f042cd75d13c9f5485efcf	37	13	19	37	15	0	21	29	33	26	21	17
27147a1746a357462df2d229880ebf53	21	0	21	18	0	35	16	28	26	26	46	31
2e08c648cb89ff7faa74d1ba27f08888	0	17	16	5	4	144	48	0	0	5	11	17
88cfb4da5c7647e5429c3afe4ba4c0a1	19	43	23	14	65	17	10	13	14	14	18	14
725379da090e2f5eea5b4860214f8dc9	0	0	12	21	15	12	0	21	22	33	97	31
6d134445f9a6ce585428ab9082b8fe2f	37	26	34	28	24	8	10	20	22	18	14	22
26ca07efceb79486ffcd61b1f7b2f11b	41	72	34	24	43	7	0	0	10	21	10	0
446278cbee5ce6bd58970814e0f430f4	7	0	21	18	37	0	37	40	33	17	18	34
75ee41703d27e675f893c060f035e692	31	44	40	24	49	19	4	7	7	19	11	5
aa5328962db35793946a76be45b65c97	51	13	26	42	35	17	6	0	21	18	11	15
3fd78a19d94864a5829b28f45c5630e7	33	25	29	19	14	12	19	19	30	14	16	25
5fb149335c8ba0d22ea2e8dcd6207da1	0	0	0	0	0	0	52	77	29	0	29	63
6f73cff728d10b6ae20b6b300d11a1af	0	0	0	0	0	0	53	38	36	42	47	33
82eacd55721b09facce1c1b5f6ea6f08	33	34	46	38	44	22	0	2	6	19	0	0
6e8df8b6af7a7e5c2255f2d33618724e	0	0	9	0	28	0	44	42	24	28	32	37
1e9f8faca1bc6e993811f954fdabd0d1	27	38	22	28	23	9	11	21	21	16	15	12
0757d324ecb742c41f63ce4915a14e1e	31	25	46	39	28	24	0	13	9	11	8	8
15c17b608059c13343410ebebfaa4d88	33	32	37	40	28	18	8	8	9	16	9	0
b2fc24d901f3a1e2252666f7a63e28ff	0	0	0	0	0	0	112	0	0	16	110	0
ee557aaab0e46abd627a0a28b9bc3471	46	30	24	23	25	24	7	17	8	8	13	12
8eeb6b7f45f2c006ef930dcd0332ecd1	38	20	0	28	38	0	15	15	7	17	35	22
19a52c331dd7125ef7cbc70e3316e79a	47	41	42	48	28	0	0	0	0	28	0	0
ed28e98447c2c51e6d3cef357383bf97	37	36	39	25	30	13	6	7	10	22	0	9
1263d08b34a0559bef1e6d7bca3e9652	35	18	16	35	46	12	11	12	9	13	11	16
ba0e24b84288f3540629fc28555c53d1	13	11	28	13	24	0	32	20	13	24	17	38
57862428a5f3002615337e086d6cf53d	0	0	29	0	108	0	31	33	0	0	0	32
9bf000e6b48767fd7525b62ba9d5ad36	44	25	27	24	49	18	21	0	24	0	0	0
0383adbe460f296e90cdc4fd77fa1d67	44	39	41	47	18	8	0	0	17	18	0	0
75bdfa89b02cd9546f3ff488bdfe5445	27	27	28	22	29	0	0	0	35	46	0	18
bce82f0be5f1e07e638d804c49634f10	0	0	15	0	20	0	36	38	20	36	11	55
77db4eb196086165b0e34c9d604c7d34	38	32	25	32	0	21	0	24	0	15	24	18
4435fa0ee1a43a576991cba66dddf19f	36	23	23	17	30	15	11	9	13	25	14	12
13b4b3e6d084c20b49d7dc2486452397	10	0	0	0	0	0	37	43	23	29	42	44
b914d9051173a40d5f553c79f087f66e	0	0	0	0	0	0	0	207	0	0	20	0
c2fe0ec2c30b7fb78db80fe5a7548784	42	7	31	30	19	0	5	22	22	16	12	18
c994df0d1d7a3c188c4b6b464c84795d	0	0	0	18	0	21	32	39	35	25	26	27
e7bd84082e583bd261de645f8b140e10	36	23	25	53	24	11	3	7	8	14	11	7
4158ad5f92a9b8dc9127d9424a0b0601	20	23	0	11	24	12	25	17	21	19	23	27
8fc4bc921dbd4f23bb72897486185fa6	42	29	21	36	49	19	8	0	6	0	0	11
da825dd60a2a2d1a7b8c60cfdddb0e8f	36	13	21	23	17	0	14	20	24	31	14	8
46d5ace8454540693644513a28adcfee	9	9	10	0	7	0	32	36	22	11	34	51
39590199aa5cd2fbeb68cc0f99e42f61	36	41	21	31	15	26	0	12	11	14	0	13
ed48490d4d6b6eaf4155eb6cb050a1e2	29	0	68	36	37	29	0	0	0	0	20	0
034d017ddb71d82205d991e451166877	62	40	37	46	33	0	0	0	0	0	0	0
dd815769038e173dfa8d7a073c6e9c35	57	19	27	33	27	13	0	8	9	17	0	8
0bf575941a47f1f1d566aa27ff5e84c0	53	33	31	27	13	24	0	6	7	12	6	6
fe16a18db01ccacadbbbdec644fc17f1	31	39	25	32	0	28	5	20	10	13	15	0
1dfb8ba9375a08f7cae171a452369a61	36	21	31	34	28	20	10	7	18	8	0	4
2b84cba58a14f33c3966862dddf3bcbe	33	37	20	31	30	25	6	5	8	11	6	5
5e7ff8a0243dd5fc832ac46551a9f41e	0	0	0	0	0	0	60	57	0	0	50	46
f8e30101bba50ffeacc6ac2799e265d9	43	28	32	49	38	0	0	0	22	0	0	0
4908145beda56856d93c0dd8f6d1c52f	35	35	30	24	34	20	4	0	4	21	5	0
6ea3bee5d94323c979657de7a7cffe5f	0	29	15	0	24	18	15	40	18	0	28	25
cee1cf1c3a6925c5902cb27d593276a7	40	27	27	35	23	28	0	17	0	0	14	0
19ee586bb3f4a1b906911151df553792	33	22	34	25	37	23	0	0	17	18	0	0
f5cf4a94b9505061ddb0bbe442a03303	23	39	32	22	48	8	3	6	5	19	2	2
29e9c3253a737bc1b02969c7dbd979e2	0	0	0	0	0	0	34	25	35	43	42	29
bba50795ba103b7d6a2d368927a0fc17	35	0	0	20	0	0	26	35	23	0	31	37
3f838c8662fcc66c2542a65bfc93b04e	31	63	17	24	11	37	0	0	11	11	0	0
10dec7eb7da726469f9f0b1bf95e4701	25	16	10	6	16	11	13	22	11	19	38	18
7bfe161318044ca482c413bd3150e37f	21	16	30	25	19	13	0	12	14	12	18	21
185afa849755a732da4e14940a291720	42	16	30	31	27	8	0	12	0	14	8	11
483276499a7791dddc5568efd17aafbd	0	0	0	12	0	0	30	32	34	36	22	32
e397052ad8c207f2674222e88d055e67	28	24	28	22	60	25	0	0	10	0	0	0
8b32532021dcf98279710cd86e047fe3	22	27	26	33	13	0	15	14	0	16	15	16
a1abf21d79da150c8ef5ddc5b63ae826	7	21	32	12	49	21	8	5	13	17	7	5
47fe860c6b53de05f15c3badd5f08bce	16	17	24	21	20	19	0	18	21	14	26	0
2cd30e9eda91687ba73dcae76f4f1880	0	0	0	0	0	0	20	30	95	0	32	19
ba4c93af2a17b35cc80d3ec644ed5324	34	21	32	0	25	19	13	0	18	17	16	0
15ff3e3c7b8c163c3e51da2869d43312	0	0	0	14	0	0	27	45	24	14	27	44
a1cc1423f3cf36b26ac1e695c2c8296b	24	18	10	23	13	11	5	13	11	19	19	27
7861c060089aad0fbcceb9ebe473b771	0	49	56	0	0	32	12	0	0	23	21	0
fba9f8ede003e285206aa9c6efded086	29	8	14	41	13	0	9	33	12	0	13	20
35b7ac615b8f9d2df7abdb7cf252a81d	28	0	20	14	18	8	20	30	13	11	11	19
fe44b7f2daf3b5e9e7949441d57d712e	12	0	0	16	28	0	13	37	23	10	21	31
43a899e074f2ff57a50367b27c3e764b	26	27	32	54	15	24	0	0	0	12	0	0
9e5894b454c54739ef6dcb36dfdb5bd6	28	0	0	0	0	0	20	33	34	0	39	34
569ef8129d8ecf32e15db26b9e7a6538	25	0	0	24	22	0	0	17	29	29	42	0
86bf40fcd5500c8b5247050827a26674	53	21	28	26	37	11	0	0	0	8	3	0
6c3e5171b49587e58ef2267a2594a158	27	29	17	27	28	17	8	8	6	12	0	6
f02dc4ec11c3cc3d7cd1b72f47f5b7a9	24	29	14	23	31	7	5	17	6	5	12	12
d7517635c49b504ba8702afa49c55725	18	26	27	26	29	16	0	18	0	10	15	0
21b0d15e5d77c2d1402cf855c31f1da2	24	27	27	17	25	22	0	16	0	15	11	0
a3131abc59d660509cb4706b82a84a39	0	0	0	0	0	0	184	0	0	0	0	0
2257b4b15296254724412150fae400b6	35	16	34	0	25	18	0	0	14	0	21	20
f0c1c403e9020495294039ed7dd4d9f4	34	27	28	29	35	10	0	0	0	20	0	0
75ebdf3a69d6579c48992e1b7caaf61c	32	19	28	34	36	0	0	0	10	0	13	11
78f50df3312ad459e282c3e3dd3fd525	18	19	26	26	33	8	9	8	11	10	9	6
4adfaf0b76ead5e3e0988095decba99e	0	0	0	50	60	0	0	0	0	35	0	37
6dd4e28a8eca0f1ef2043e7e90b855e0	32	28	28	29	0	0	0	0	19	25	0	19
6a6d452d60f5bdd8553d9ce47dd1b2ff	22	16	27	34	28	17	7	5	0	13	3	8
4ea1e53edd57590211600019242c1e2a	22	17	26	30	12	6	0	16	17	22	0	11
85109b148564a47f313736af04addbcd	0	0	0	0	0	0	21	46	27	0	32	52
8345555fe7647485b02df09318240936	0	31	28	42	39	0	0	10	0	0	15	12
3cec4457139932707ae1ab964942235b	32	0	26	39	40	0	0	0	0	0	39	0
623a47572bb1b764d90fdf3da0957254	29	38	20	27	28	14	0	7	0	13	0	0
efd46ed902f295088a707bb117005821	22	25	32	18	29	18	9	0	15	0	0	7
1876b00f66d8daba7179b48be578dfbf	0	45	40	22	30	32	0	0	0	0	0	6
77d424a810884030d74ca90e39aa9b98	0	0	0	0	0	0	29	27	18	20	44	37
8bbe8795051e4697b5f139443c0a109d	23	25	32	39	15	9	0	0	15	0	9	7
194575ae56f193187d44b505d629ac97	39	33	13	23	13	0	0	12	0	12	15	12
ca5ed673195eddb713907f355b87c177	35	29	14	21	28	15	0	0	8	14	0	8
5734c29187104c520e8dfb9c4bffb15c	31	0	25	29	41	24	0	0	22	0	0	0
87cd7cc1e7a28b8da095a1421e193d20	22	37	17	15	27	19	0	0	8	20	7	0
0c75e0459f1db88c7fbf46f420aea611	16	18	23	12	17	13	11	14	12	20	0	14
e5d2897df2f464827244b871d67ee050	30	24	18	22	13	22	0	0	17	0	0	23
67affb12f790a93ec517521648463ffe	23	14	14	21	26	16	8	15	11	11	10	0
188ccb184ef6cc0bbc8f60982579c384	23	25	31	22	35	6	0	5	6	16	0	0
