Genero	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
index	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Incertae_Sedis	 19	 19	 45	 37	 54	 23	 24	 64	132	 75	 27	104
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__P3OB-51	 21	 20	 50	 32	 24	 20	 59	120	 98	115	 99	133
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphobaculum	 95	 80	 47	 93	 99	130	  0	 57	 17	 26	 32	 20
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Acaricomes	 70	 83	 67	 34	 72	 20	108	 43	  0	 37	 40	 28
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__Incertae_Sedis	 34	 35	 41	 29	 32	 10	 45	 26	 66	 82	141	 64
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae;g__Incertae_Sedis	42	64	93	43	52	74	12	11	15	13	10	28
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Pseudozobellia	 63	 10	 37	124	 28	 39	  9	 17	 16	 43	  5	  4
d__Bacteria;p__Chloroflexota;__;__;__;__	 36	 34	 64	 29	 39	  0	 80	117	158	166	110	151
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;__	121	344	 76	123	158	 71	  0	  0	  0	 24	  0	  0
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 8	17	23	 7	20	 8	42	31	47	72	83	65
