Genero	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
index	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Polyangiaceae;g__Byssovorax	0	0	0	0	0	0	0	5	0	5	0	9
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Ferrovibrio	0	0	0	3	0	0	0	5	0	9	0	5
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Dethiosulfatarculus	0	0	0	0	0	0	3	0	4	6	4	2
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__possible_genus_04	 0	 0	 0	 3	 0	 0	 0	 0	 4	 0	16	 5
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Siccirubricoccus	 0	 0	 0	 0	 0	 0	 0	 4	10	 8	 7	 4
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methyloligellaceae;g__Rhodobium	0	0	0	0	0	0	0	0	0	0	9	9
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;__;__	2	0	0	3	0	2	0	0	0	6	0	8
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Tepidicella	0	0	0	0	0	0	0	6	0	5	0	7
d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;__	0	0	0	0	3	0	3	5	0	0	9	7
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Litorilinea	0	0	0	0	3	0	5	7	5	0	3	5
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__RBG-13-54-9;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	9	4	5	0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	2	0	3	0	2	2	7	3	0	8
d__Bacteria;p__Cyanobacteriota;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Incertae_Sedis	0	0	0	3	0	0	0	0	4	4	0	6
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Desertibacillus	 0	 0	 0	 0	 0	 0	 0	 0	 7	10	 0	 0
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Natronobacillus	 0	 0	 0	 0	 0	 0	16	 0	 0	 0	 0	 0
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Incertae_Sedis	 0	 5	10	 0	 0	 0	 0	 0	 0	 0	 0	 0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Daeguia	0	9	0	0	0	0	0	0	0	5	0	0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;__	0	0	0	0	0	0	0	4	9	5	0	0
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis	0	0	0	0	0	0	0	2	0	4	0	7
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Incertae_Sedis	3	0	3	0	2	2	9	0	0	0	0	6
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__Chthoniobacteraceae;__	 0	 0	 0	 0	 8	 0	 0	 0	 0	 0	13	 0
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Gorillibacterium	0	0	0	0	0	0	0	0	6	0	7	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;__	4	0	8	8	0	0	7	0	2	0	6	9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__Thermaurantimonas	0	0	5	4	0	0	0	2	2	0	0	0
Unassigned;__;__;__;__;__	 0	 3	10	 0	 0	 0	 0	 7	 5	 9	 4	 9
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Rubritaleaceae;__	 0	 0	13	 7	 0	 0	 0	 0	 0	 1	 0	 0
d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	5	0	7	0
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Haliangiales;f__Haliangiaceae;__	0	0	0	0	0	0	3	3	0	0	6	0
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__JCM_18997	 0	 0	 0	 0	 0	 0	 0	 0	 0	12	 0	 0
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Parviterribacter	0	0	7	0	0	0	0	0	7	5	0	0
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Candidatus_Rubidus	0	3	0	0	0	2	0	0	3	4	0	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;__	 0	 0	 0	 0	 0	 0	 0	12	 0	 0	 0	 0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Incertae_Sedis;__	 0	 0	 0	 0	 0	 0	12	 0	 0	 0	 0	 0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Pseudorhizobium	 0	12	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;__	 0	 0	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Salinisphaerales;f__Nevskiaceae;g__Sinimarinibacterium	0	0	9	0	0	0	0	0	2	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Denitromonas	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Rhodonellum	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;__	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;__;__	0	0	0	0	0	0	0	0	0	0	0	9
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;__;__	0	0	5	0	0	0	0	0	0	0	4	0
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__cvE6;g__Incertae_Sedis	0	0	0	0	0	0	0	3	0	9	0	5
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__Singulisphaera	0	0	0	0	0	0	0	0	0	9	5	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae;g__Lacibacterium	0	0	0	0	0	0	8	4	0	5	0	0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Incertae_Sedis;g__Incertae_Sedis	0	3	0	0	0	6	9	0	0	2	5	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Liptonbacteria;f__Incertae_Sedis;g__Incertae_Sedis	0	0	9	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Aliihoeflea	9	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;__	0	0	0	0	0	0	4	7	0	2	4	7
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Candidatus_Trichorickettsia	0	0	0	0	0	0	0	5	0	0	3	0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacter	0	0	0	0	0	0	0	0	8	0	0	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Oharaeibacter	0	0	0	0	8	0	0	0	0	0	0	0
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Polyangiaceae;g__Jahnella	0	0	8	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Alterococcus	0	0	0	0	0	0	0	0	0	0	0	7
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__MVP-88;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	2	0	5
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__Tepidisphaera	0	3	5	0	0	0	0	0	0	0	5	4
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;__	0	0	0	0	0	0	4	0	0	0	4	8
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Ereboglobus	0	0	0	0	0	0	0	0	0	0	4	3
d__Bacteria;p__SAR324_clade(Marine_group_B);c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Candidatus_Nitrosoarchaeum	0	0	0	0	0	0	0	2	0	3	2	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__cr616	0	0	0	0	0	0	0	0	0	7	0	0
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Thermasporomyces	0	0	0	4	0	0	3	0	0	0	0	0
d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	2	0	0	0	0	0	0	0	2	2
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Kerfeldbacteria;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	4	0	0	2
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;__;__	0	0	0	0	0	0	0	0	0	3	3	0
d__Bacteria;p__Patescibacteria;c__Berkelbacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	4	2	0	0
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Woykebacteria;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	4	0	2	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Ohtaekwangia	0	0	0	0	0	0	0	0	6	0	0	0
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Woesebacteria;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	2	4	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Aureibacter	0	0	0	0	0	0	0	4	0	0	5	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Angulomicrobium	0	0	0	0	0	0	0	0	0	5	0	0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Elev-16S-573;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	5	0	0
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;__	0	0	0	0	0	0	0	0	0	5	0	0
d__Bacteria;p__Armatimonadota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	5	0	0
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	2	0	0	3	0	0
d__Bacteria;p__TX1A-33;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	5	0	0	4	0	0
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;__	0	0	0	5	0	0	0	0	0	0	0	0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__YM_S32_TM7_50_20;g__Incertae_Sedis	0	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	4
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Amb-16S-1034;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	4	0
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;__;__	0	0	0	0	0	0	0	0	0	4	2	0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__Incertae_Sedis;__	0	0	0	0	0	0	2	0	0	2	0	0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	2	0	2	2	0	0
d__Bacteria;p__Bacillota;c__Moorellia;o__Desulfitibacterales;f__Desulfitibacteraceae;g__Desulfitibacter	0	0	0	0	0	0	0	4	4	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;__;__	0	0	0	0	0	0	0	0	4	0	0	2
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata	0	0	0	0	2	0	0	0	4	0	0	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__bac2nit3;g__Incertae_Sedis	0	0	0	0	0	0	0	4	0	0	0	0
d__Bacteria;p__Patescibacteria;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__OPB3;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Caenimicrobium	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Thermacetogenia;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Syntrophaceticus	0	0	0	0	0	0	0	2	0	0	0	3
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Spirillospora	0	0	0	0	0	0	0	0	0	0	3	0
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	3	0	0
d__Bacteria;p__Bacillota;c__Clostridia;__;__;__	0	0	0	0	0	0	0	0	0	3	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__	0	0	0	0	0	0	0	0	0	3	0	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Midichloriaceae;g__Lyticum	0	0	0	0	0	0	0	0	0	3	0	0
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;__;__	0	0	0	0	0	0	0	0	0	3	0	0
d__Bacteria;p__Acidobacteriota;__;__;__;__	0	0	0	0	0	0	0	3	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Devriesea	0	0	0	0	0	0	0	3	0	0	0	0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Pseudobdellovibrionaceae;g__Bdellovibrio	0	0	0	0	0	0	0	3	0	0	0	0
d__Bacteria;p__Bacillota;c__Limnochordia;o__Limnochordales;f__Limnochordaceae;g__Incertae_Sedis	0	0	0	0	0	0	0	3	0	0	0	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Bacterioplanoides	0	0	0	0	0	0	0	3	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Rufibacter	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Marinibaculum	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon	0	0	0	0	3	0	0	0	0	0	0	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;__;__	0	0	0	3	0	0	0	0	0	0	0	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Brackiella	3	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Chisholmbacteria;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Bacillota;c__Limnochordia;o__Limnochordales;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Oleisolibacter	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Vogelbacteria;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;__	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Candidatus_Mesochlamydia	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria;p__Patescibacteria;c__ABY1;__;__;__	0	0	0	0	0	0	0	0	0	2	0	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella	0	0	0	0	0	0	0	0	0	2	0	0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae;g__Candidatus_Captivus	0	0	0	0	0	0	0	0	2	0	0	0
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	0	0	0	0	0	0	0	0	2	0	0	0
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;__	0	0	0	0	0	0	0	0	2	0	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter	0	0	0	0	0	0	0	2	0	0	0	0
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Ardenticatenales;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	2	2	0	0	0	0
d__Bacteria;p__Bacillota;c__Thermovenabulia;o__Thermovenabulales;f__Tepidanaerobacteraceae;g__Tepidanaerobacter	0	0	0	0	0	0	0	2	0	0	0	0
d__Bacteria;p__Elusimicrobiota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	2	0	0	0	0	0
accession	SRX13358035	SRX13358036	SRX13358037	SRX13358038	SRX13358039	SRX13358040	SRX13358517	SRX13358630	SRX13358022	SRX13358024	SRX13358026	SRX13358032
sra_run	SRR17174842	SRR17174841	SRR17174840	SRR17174839	SRR17174838	SRR17174837	SRR17174969	SRR17174856	SRR17174855	SRR17174853	SRR17174851	SRR17174845
Type	Tomato	Tomato	Tomato	Tomato	Tomato	Tomato	NC	NC	NC	NC	NC	NC
